"ensembl_gene_id","start_position","chromosome_name","startTAD","endTAD"
"ENSMUSG00000083929",42232136,"4",41800000,42700000
"ENSMUSG00000099572",11681696,"Y",11181696,12181696
"ENSMUSG00000054321",14783245,"18",14700000,15852500
"ENSMUSG00000091827",17373180,"5",16920000,17940000
"ENSMUSG00000096862",42234014,"4",41800000,42700000
"ENSMUSG00000101690",11763935,"Y",11263935,12263935
"ENSMUSG00000115538",101343544,"14",100300000,101562500
"ENSMUSG00000052469",13354572,"17",13050000,13995000
"ENSMUSG00000091542",42206998,"4",41790000,42700000
"ENSMUSG00000014907",66860217,"8",66492500,67305000
"ENSMUSG00000101842",11777111,"Y",11277111,12277111
"ENSMUSG00000021952",57577521,"14",56950000,57887500
"ENSMUSG00000060176",58287502,"13",58130000,58675000
"ENSMUSG00000081469",22123289,"13",21975000,23525000
"ENSMUSG00000029235",76312115,"5",75870000,76950000
"ENSMUSG00000114620",22126741,"13",2.2e+07,23525000
"ENSMUSG00000025279",7964533,"14",7745000,8600000
"ENSMUSG00000083167",22136424,"13",22040000,23530000
"ENSMUSG00000073879",42236859,"4",41800000,42700000
"ENSMUSG00000062310",88499871,"1",88310000,89030000
"ENSMUSG00000002020",84783212,"12",83535000,85300000
"ENSMUSG00000042121",113937094,"5",113700000,114250000
"ENSMUSG00000087301",66440880,"2",65350000,66725000
"ENSMUSG00000089973",22144441,"13",22050000,23525000
"ENSMUSG00000011179",17544794,"12",17310000,17850000
"ENSMUSG00000025047",47090768,"19",46550000,47225000
"ENSMUSG00000039782",43233170,"5",42050000,43650000
"ENSMUSG00000090338",42239725,"4",41800000,42700000
"ENSMUSG00000024758",7425901,"19",7100000,7525000
"ENSMUSG00000096746",52744249,"14",52412500,53465000
"ENSMUSG00000118458",42242630,"4",41800000,42700000
"ENSMUSG00000040296",40203773,"4",40075000,40650000
"ENSMUSG00000101688",80756339,"Y",80256339,81256339
"ENSMUSG00000083319",22163886,"13",22055000,23575000
"ENSMUSG00000099679",80785961,"Y",80285961,81285961
"ENSMUSG00000075316",66480080,"2",66235000,66757500
"ENSMUSG00000087379",31786675,"6",31567500,33105000
"ENSMUSG00000020887",70863127,"8",70475000,71300000
"ENSMUSG00000118425",42245504,"4",41800000,42700000
"ENSMUSG00000084973",31658173,"6",31522500,33140000
"ENSMUSG00000095387",52753367,"14",52405000,53470000
"ENSMUSG00000067199",41829970,"19",41050000,41915000
"ENSMUSG00000094578",5484207,"14",4750000,5990000
"ENSMUSG00000060594",51054640,"9",50615000,51797500
"ENSMUSG00000095916",22173220,"13",22060000,23552500
"ENSMUSG00000108045",78215878,"6",77600000,78500000
"ENSMUSG00000021340",24943152,"13",24440000,25025000
"ENSMUSG00000025040",17556564,"X",16825000,18280000
"ENSMUSG00000013921",30291728,"7",29820000,30990000
"ENSMUSG00000094286",47101032,"4",46655000,47405000
"ENSMUSG00000004347",56069804,"6",5.6e+07,56675000
"ENSMUSG00000086804",31605190,"6",31475000,32925000
"ENSMUSG00000047604",41845972,"19",41050000,41915000
"ENSMUSG00000081589",3446558,"X",3060000,4950000
"ENSMUSG00000032381",66126611,"9",65945000,66870000
"ENSMUSG00000028243",6191098,"4",4750000,6425000
"ENSMUSG00000082167",3484012,"X",3067500,4825000
"ENSMUSG00000083348",22174829,"13",22060000,23552500
"ENSMUSG00000035773",79916971,"10",79672500,80162500
"ENSMUSG00000038327",33324077,"13",32870000,33930000
"ENSMUSG00000107470",3181093,"7",3005000,4475000
"ENSMUSG00000095492",3696491,"X",3075000,4700000
"ENSMUSG00000028044",89415472,"3",89065000,90305000
"ENSMUSG00000053091",66689889,"7",66065000,67025000
"ENSMUSG00000031145",7657260,"X",7220000,7850000
"ENSMUSG00000097399",58281183,"13",58130000,58675000
"ENSMUSG00000094876",3700233,"X",3075000,4160000
"ENSMUSG00000095675",42255693,"4",41830000,42700000
"ENSMUSG00000032056",51060901,"9",50615000,51797500
"ENSMUSG00000022401",81400138,"15",81225000,81875000
"ENSMUSG00000084367",154635551,"X",154075000,155345000
"ENSMUSG00000025337",130245731,"5",129515000,130355000
"ENSMUSG00000107010",31702245,"6",31567500,33105000
"ENSMUSG00000111967",6498124,"12",5050000,7950000
"ENSMUSG00000118433",42273497,"4",41830000,42700000
"ENSMUSG00000048439",24164963,"5",23805000,25450000
"ENSMUSG00000041247",19653378,"16",18950000,20142500
"ENSMUSG00000115838",60295792,"15",59770000,60940000
"ENSMUSG00000095716",3750934,"X",3075000,4160000
"ENSMUSG00000112454",6699753,"12",5050000,7940000
"ENSMUSG00000096327",42293436,"4",41830000,42700000
"ENSMUSG00000097174",79295123,"8",78020000,79765000
"ENSMUSG00000035329",59200655,"12",58920000,60085000
"ENSMUSG00000090202",146645193,"3",146205000,146950000
"ENSMUSG00000071356",78370657,"6",77590000,78500000
"ENSMUSG00000095259",3755775,"X",3075000,4160000
"ENSMUSG00000047139",43578284,"10",43285000,43950000
"ENSMUSG00000107702",136514976,"6",136325000,136930000
"ENSMUSG00000031551",24584136,"8",24300000,25210000
"ENSMUSG00000101796",206151,"Y",-293849,706151
"ENSMUSG00000096937",22402883,"10",22060000,22795000
"ENSMUSG00000035781",79910052,"10",79672500,80162500
"ENSMUSG00000110468",66905997,"8",66485000,67360000
"ENSMUSG00000101878",116173737,"6",115817500,116587500
"ENSMUSG00000033715",4049011,"13",3625000,4610000
"ENSMUSG00000066760",17074040,"7",16870000,17515000
"ENSMUSG00000042408",127077383,"4",126700000,127342500
"ENSMUSG00000115407",43808461,"15",43655000,44265000
"ENSMUSG00000092625",116107650,"6",115835000,116575000
"ENSMUSG00000083242",66033085,"1",65247500,66107500
"ENSMUSG00000110583",67053650,"8",66500000,67402500
"ENSMUSG00000087318",33068551,"11",32695000,33540000
"ENSMUSG00000032057",51081115,"9",50615000,51797500
"ENSMUSG00000110512",67176771,"8",66525000,67415000
"ENSMUSG00000108332",38182563,"7",37355000,38300000
"ENSMUSG00000030126",116018611,"6",115835000,116570000
"ENSMUSG00000078965",20335012,"11",2e+07,20640000
"ENSMUSG00000024274",23964818,"18",23762500,24365000
"ENSMUSG00000085810",146641932,"3",146205000,146950000
"ENSMUSG00000078817",3218784,"7",3025000,4475000
"ENSMUSG00000108713",129398102,"7",1.29e+08,129640000
"ENSMUSG00000028857",133266045,"4",132940000,133450000
"ENSMUSG00000079536",74480287,"X",73982500,75245000
"ENSMUSG00000111975",6966758,"12",5035000,7970000
"ENSMUSG00000054676",38183217,"7",37355000,38300000
"ENSMUSG00000083289",66062965,"1",65240000,66130000
"ENSMUSG00000048652",146645195,"3",146205000,146950000
"ENSMUSG00000083878",20446412,"11",2e+07,20700000
"ENSMUSG00000031146",7667941,"X",7220000,7850000
"ENSMUSG00000117218",13384029,"17",13050000,13995000
"ENSMUSG00000063281",23989632,"18",23825000,24365000
"ENSMUSG00000057967",33117430,"11",32710000,33585000
"ENSMUSG00000101639",13394025,"17",13050000,13995000
"ENSMUSG00000102096",7372039,"12",5050000,7952500
"ENSMUSG00000117092",13385186,"17",13050000,13995000
"ENSMUSG00000052981",69702832,"13",69575000,70587500
"ENSMUSG00000099677",80822758,"Y",80322758,81322758
"ENSMUSG00000078511",143948580,"4",143412500,144737500
"ENSMUSG00000100925",80829542,"Y",80329542,81329542
"ENSMUSG00000082025",3779668,"X",3075000,4160000
"ENSMUSG00000092358",57698013,"14",57025000,57985000
"ENSMUSG00000097945",19723312,"16",18962500,20167500
"ENSMUSG00000108561",17078191,"7",16870000,17575000
"ENSMUSG00000112385",59262673,"12",59025000,60112500
"ENSMUSG00000101492",321659,"Y",-178341,821659
"ENSMUSG00000107120",31461022,"5",31130000,31715000
"ENSMUSG00000099740",80926995,"Y",80426995,81426995
"ENSMUSG00000110055",4035245,"13",3310000,4625000
"ENSMUSG00000031131",57088106,"X",56350000,57385000
"ENSMUSG00000098470",124570294,"6",124372500,125100000
"ENSMUSG00000098229",59291964,"12",59025000,60100000
"ENSMUSG00000021959",57689662,"14",56825000,57985000
"ENSMUSG00000104993",100592404,"5",100390000,100940000
"ENSMUSG00000062761",31452431,"5",31060000,31650000
"ENSMUSG00000112957",69771518,"13",69630000,70595000
"ENSMUSG00000051392",97407450,"3",96580000,97525000
"ENSMUSG00000112583",59317083,"12",59025000,60100000
"ENSMUSG00000110425",3137043,"9",3025000,4450000
"ENSMUSG00000051518",80260615,"15",80090000,81050000
"ENSMUSG00000110587",3187110,"9",3025000,4450000
"ENSMUSG00000089961",124530911,"6",124372500,125100000
"ENSMUSG00000113639",69775436,"13",69630000,70595000
"ENSMUSG00000101871",11800542,"Y",11300542,12300542
"ENSMUSG00000062327",8434423,"17",8060000,8650000
"ENSMUSG00000042360",3133847,"9",3025000,4450000
"ENSMUSG00000111565",43659318,"10",43400000,43950000
"ENSMUSG00000035049",41862851,"19",41050000,41975000
"ENSMUSG00000105751",138495868,"3",138170000,139210000
"ENSMUSG00000075184",43593397,"10",43290000,43950000
"ENSMUSG00000106604",48324612,"5",46815000,48637500
"ENSMUSG00000108709",72120213,"6",71845000,72315000
"ENSMUSG00000106462",138503844,"3",138220000,139180000
"ENSMUSG00000033033",47105353,"19",46525000,47237500
"ENSMUSG00000080912",61130591,"11",60800000,61650000
"ENSMUSG00000000078",5861482,"13",4630000,6530000
"ENSMUSG00000104354",13672516,"2",13272500,14707500
"ENSMUSG00000010142",61126755,"11",60800000,61650000
"ENSMUSG00000100798",88551517,"1",88310000,89045000
"ENSMUSG00000003418",13651021,"2",13267500,14707500
"ENSMUSG00000047619",6262733,"9",5675000,6920000
"ENSMUSG00000026087",37890477,"1",36900000,37950000
"ENSMUSG00000035395",89403848,"X",88260000,90125000
"ENSMUSG00000081705",37077655,"3",36530000,37325000
"ENSMUSG00000083857",37116734,"3",36530000,37325000
"ENSMUSG00000082878",37108174,"3",36530000,37325000
"ENSMUSG00000074768",93616675,"13",92550000,94122500
"ENSMUSG00000104057",88653085,"1",88310000,89027500
"ENSMUSG00000027719",37063527,"3",36530000,37325000
"ENSMUSG00000096524",3786827,"X",3075000,4160000
"ENSMUSG00000032006",6168584,"9",5675000,6920000
"ENSMUSG00000100367",88656308,"1",88310000,89027500
"ENSMUSG00000100968",670179,"Y",170179,1170179
"ENSMUSG00000111749",43681001,"10",43400000,43955000
"ENSMUSG00000028909",131768457,"4",130930000,132025000
"ENSMUSG00000091492",81415560,"15",81225000,81875000
"ENSMUSG00000078510",143964518,"4",143412500,144842500
"ENSMUSG00000068699",29433256,"6",29170000,30337500
"ENSMUSG00000027070",69424340,"2",68750000,69522500
"ENSMUSG00000047108",81406926,"15",81225000,81875000
"ENSMUSG00000114955",3000669,"14",3e+06,4320000
"ENSMUSG00000111300",43639223,"10",43290000,43950000
"ENSMUSG00000002871",88902251,"6",88870000,89600000
"ENSMUSG00000111575",43690726,"10",43400000,43955000
"ENSMUSG00000080300",3835901,"X",3087500,4105000
"ENSMUSG00000112754",7417425,"12",5050000,7952500
"ENSMUSG00000107413",3264349,"7",3025000,4475000
"ENSMUSG00000046449",104077434,"X",103895000,104937500
"ENSMUSG00000075378",37083736,"2",36200000,37275000
"ENSMUSG00000083491",47171669,"4",47082500,47405000
"ENSMUSG00000097012",22414514,"10",22060000,22795000
"ENSMUSG00000083555",20574567,"11",2e+07,20720000
"ENSMUSG00000085834",93625382,"13",92550000,94122500
"ENSMUSG00000049800",20543253,"11",2e+07,20710000
"ENSMUSG00000036002",43032414,"4",42900000,43500000
"ENSMUSG00000101381",3955054,"X",3067500,4825000
"ENSMUSG00000115251",60392119,"15",59770000,60940000
"ENSMUSG00000115159",60397297,"15",59770000,60940000
"ENSMUSG00000083139",84915896,"4",83677500,85127500
"ENSMUSG00000080303",84923554,"4",83677500,85127500
"ENSMUSG00000115503",60468124,"15",59770000,60940000
"ENSMUSG00000039710",14480697,"3",13895000,15267500
"ENSMUSG00000038070",84884309,"4",83675000,85130000
"ENSMUSG00000115504",60670343,"15",59770000,60940000
"ENSMUSG00000108105",3284595,"7",3025000,4475000
"ENSMUSG00000094725",3959863,"X",3067500,4825000
"ENSMUSG00000031028",108950338,"7",108337500,109212500
"ENSMUSG00000096733",4033924,"X",3075000,4700000
"ENSMUSG00000040006",7767947,"10",7290000,8260000
"ENSMUSG00000070737",127123691,"4",126730000,127385000
"ENSMUSG00000110491",3199894,"9",3025000,4450000
"ENSMUSG00000082197",154774453,"X",154075000,155345000
"ENSMUSG00000051469",24009702,"18",23832500,24300000
"ENSMUSG00000021940",33589207,"14",33375000,34100000
"ENSMUSG00000112867",59336828,"12",59032500,60100000
"ENSMUSG00000090487",3030002,"14",3e+06,4750000
"ENSMUSG00000092130",84875769,"12",84550000,85625000
"ENSMUSG00000072100",154886805,"X",154075000,155345000
"ENSMUSG00000112671",59350976,"12",59032500,60100000
"ENSMUSG00000012640",43296197,"7",40945000,44250000
"ENSMUSG00000105374",43248185,"5",42050000,43650000
"ENSMUSG00000105326",43265157,"5",42050000,43650000
"ENSMUSG00000053211",725128,"Y",225128,1225128
"ENSMUSG00000100919",12019193,"Y",11519193,12519193
"ENSMUSG00000112323",7524002,"12",5050000,7955000
"ENSMUSG00000085720",43151686,"5",42050000,43650000
"ENSMUSG00000024903",118961578,"4",118775000,119325000
"ENSMUSG00000110213",46915990,"7",46200000,47200000
"ENSMUSG00000114942",57642077,"14",56825000,57920000
"ENSMUSG00000087500",47197487,"4",47082500,47405000
"ENSMUSG00000037210",34369933,"5",33975000,35012500
"ENSMUSG00000014402",46888949,"7",46140000,47180000
"ENSMUSG00000019577",5483351,"6",3935000,5590000
"ENSMUSG00000117500",24081090,"18",23930000,24600000
"ENSMUSG00000028339",47208161,"4",47082500,47405000
"ENSMUSG00000057754",131677960,"6",131425000,133060000
"ENSMUSG00000084766",59898374,"11",59640000,60460000
"ENSMUSG00000054932",90490737,"5",90130000,90725000
"ENSMUSG00000083585",4539308,"16",3720000,4665000
"ENSMUSG00000027720",37120523,"3",36530000,37325000
"ENSMUSG00000022519",4480216,"16",3720000,4665000
"ENSMUSG00000061977",131684836,"6",131425000,133060000
"ENSMUSG00000021339",24987483,"13",24455000,25080000
"ENSMUSG00000098169",40557238,"14",39712500,41325000
"ENSMUSG00000085551",59921499,"11",59650000,60460000
"ENSMUSG00000039826",29761224,"2",29605000,30250000
"ENSMUSG00000051153",131686532,"6",131425000,133060000
"ENSMUSG00000095295",5501674,"14",4750000,6e+06
"ENSMUSG00000110632",67310687,"8",66540000,67457500
"ENSMUSG00000063478",131689134,"6",131425000,133060000
"ENSMUSG00000032492",110722085,"9",110225000,111250000
"ENSMUSG00000113740",3008720,"13",3e+06,3975000
"ENSMUSG00000097853",5538496,"14",4750000,6e+06
